assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
500969,11200,Lamna nasus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Lamna,nasus,,,,"(Bonnaterre, 1788)",Vulnerable,A2bd,3.1,Decreasing,Global
731550,155511,Sphaerium corneum,ANIMALIA,MOLLUSCA,VENERIDA,BIVALVIA,SPHAERIIDAE,Sphaerium,corneum,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
734716,155692,Acroloxus lacustris,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,ACROLOXIDAE,Acroloxus,lacustris,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
735697,155736,Corbicula fluminea,ANIMALIA,MOLLUSCA,VENERIDA,BIVALVIA,CYRENIDAE,Corbicula,fluminea,,,,"(Müller, 1774)",Least Concern,,3.1,Increasing,Global
736420,155805,Gyraulus chinensis,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Gyraulus,chinensis,,,,"(Dunker, 1848)",Least Concern,,3.1,Increasing,Global
736690,155828,Gyraulus laevis,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Gyraulus,laevis,,,,"(Alder, 1838)",Least Concern,,3.1,Decreasing,Global
738056,155966,Anisus vorticulus,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Anisus,vorticulus,,,,"(Troschel, 1834)",Data Deficient,,3.1,Decreasing,Global
738398,155980,Potamopyrgus antipodarum,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,TATEIDAE,Potamopyrgus,antipodarum,,,,"(J.E. Gray, 1843)",Least Concern,,3.1,Stable,Global
738887,155986,Sphaerium solidum,ANIMALIA,MOLLUSCA,VENERIDA,BIVALVIA,SPHAERIIDAE,Sphaerium,solidum,,,,"(Normand, 1844)",Near Threatened,,3.1,Decreasing,Global
743903,47756146,Vipera berus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Vipera,berus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
748852,157284,Coronella austriaca,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Coronella,austriaca,,,,"Laurenti, 1768",Least Concern,,3.1,Decreasing,Global
785848,173805983,Enallagma cyathigerum,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Enallagma,cyathigerum,,,,"(Charpentier, 1840)",Least Concern,,3.1,Stable,Global
788483,15873,Pagrus pagrus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Pagrus,pagrus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
894216,161696,Alopias superciliosus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ALOPIIDAE,Alopias,superciliosus,,,,"Lowe, 1841",Vulnerable,A2bd,3.1,Decreasing,Global
896169,161731,Pteroplatytrygon violacea,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Pteroplatytrygon,violacea,,,,"(Bonaparte, 1832)",Least Concern,,3.1,Unknown,Global
908776,162523,Rossia macrosoma,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Rossia,macrosoma,,,,"(Chiaie, 1830)",Data Deficient,,3.1,Unknown,Global
913525,162549,Sepia orbignyana,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,orbignyana,,,,"Férussac in d'Orbigny, 1826",Data Deficient,,3.1,Unknown,Global
